id,region,url,date
14,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-via-colonello-tommaso-masala-42-1810366,2021-02-20
15,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-viale-dei-promontori-n-16-1820112,2021-02-20
16,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-villetta-roma-via-miglianico-n-29-b-%E2%80%93-29-b-bis-1824370,2021-02-20
17,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-via-giovanni-sinchetto-30-1811281,2021-02-20
18,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-villetta-roma-via-michele-barbi-31-a-1822553,2021-02-20
19,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-via-petralia-sottana-1812839,2021-02-20
20,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-via-nocera-terinese-22-(ingresso-pedonale)-e-4-(ingresso-carrabile)-1809812,2021-02-20
21,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-via-monteprandone-51-1820005,2021-02-20
22,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-via-costantino-sabbati-n-1-1819023,2021-02-20
23,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-via-siamanna-16-1827455,2021-02-20
24,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-via-nocera-terinese-22-(ingresso-pedonale)-e-4-(ingresso-carrabile)-1809823,2021-02-20
25,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-via-angiolo-cassioli-80-1810771,2021-02-20
26,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-localit%C3%A0-ostia-lido-viale-vega-n-52-1804465,2021-02-20
27,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-villetta-roma-via-vastogirardi-n-20-1801207,2021-02-20
28,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-villetta-roma-via-di-torre-jacova-47-1818415,2021-02-20
29,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-via-nocera-terinese-22-(ingresso-pedonale)-e-4-(ingresso-carrabile)-1809833,2021-02-20
30,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-viale-dell'astronomia-18-int-2-1774292,2021-02-20
31,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-via-nocera-terinese-22-(ingresso-pedonale)-e-4-(ingresso-carrabile)-1809815,2021-02-20
32,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-villetta-roma-via-vastogirardi-n-12-1801204,2021-02-20
33,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-via-orazio-borgianni-55-1816654,2021-02-20
34,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-via-pietro-antonio-crevenna-n-37-scala-u-piano-2-int-15-1808548,2021-02-20
35,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-piazza-vittorio-emanuele-ii-n-43-1804156,2021-02-20
36,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-via-nocera-terinese-22-(ingresso-pedonale)-e-4-(ingresso-carrabile)-1809811,2021-02-20
37,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-via-luigi-gastinelli-228-1813279,2021-02-20
38,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-via-cristoforo-sabbadino-149-1813227,2021-02-20
39,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-via-festo-porzio-n-12-1827332,2021-02-20
40,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-via-giacomo-laurenzani-n-37-1802316,2021-02-20
41,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-via-castelbuono-59-1820113,2021-02-20
42,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-fabbricato-civile-roma-via-di-cervara-190-1812123,2021-02-20
43,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-via-genazzano-11-1810754,2021-02-20
44,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-via-dell%E2%80%99archeologia-5-1812930,2021-02-20
45,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-via-dei-marsi-n-10-1822408,2021-02-20
46,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-via-di-torrenova-61-b-1808797,2021-02-20
47,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-via-nocera-terinese-22-(ingresso-pedonale)-e-4-(ingresso-carrabile)-1809819,2021-02-20
48,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-via-nocera-terinese-22-(ingresso-pedonale)-e-4-(ingresso-carrabile)-1809820,2021-02-20
49,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-via-positano-109-1820270,2021-02-20
50,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-via-umberto-grosso-23-1810552,2021-02-20
51,"Comune Roma, Roma, Italia",https://www.astegiudiziarie.it/vendita-asta-villetta-roma-via-g-impastato-s-n-c-1829196,2021-02-20
